fips,3rd Party Effect direction
17021,-0.16
17023,-0.27
17025,-0.25
17027,-0.24
17029,-0.2
17033,-0.3
17035,-0.28
17037,0
17041,-0.38
17043,-0.1
17045,-0.34
17047,-0.38
17049,-0.37
17051,-0.26
17053,-0.39
17055,0.02
17057,-0.01
17059,0.24
17061,-0.18
17063,-0.06
17065,-0.14
17067,-0.33
17069,-0.15
17071,-0.2
17073,-0.26
17075,-0.34
17077,0.09
17079,-0.3
17081,-0.18
17083,-0.16
17087,-0.32
17089,-0.05
17091,-0.09
17093,-0.08
17095,-0.07
17097,-0.05
17099,-0.04
17101,-0.23
17103,-0.2
17105,-0.43
17107,-0.36
17109,-0.17
17111,-0.11
17113,-0.18
17115,-0.17
17117,-0.01
17119,-0.01
17121,-0.15
17123,-0.28
17125,-0.15
17127,-0.28
17129,-0.35
17131,-0.19
17133,-0.22
17135,-0.2
17137,-0.28
17139,-0.32
17141,-0.27
17143,-0.15
17145,-0.14
17147,-0.31
17149,-0.28
17151,-0.24
17153,-0.17
17155,0.05
17157,-0.08
17159,-0.23
17161,0.02
17163,-0.01
17165,-0.14
17167,-0.22
17169,-0.24
17171,-0.3
17173,-0.29
17175,-0.34
17177,-0.28
17179,-0.28
17181,-0.1
17183,-0.18
17185,-0.31
17187,-0.27
17189,-0.29
17191,-0.33
17193,-0.19
17195,-0.09
17197,0.02
17199,-0.1
17201,-0.1
17203,-0.45
18001,-0.37
18003,-0.19
18005,-0.21
18007,-0.26
18009,-0.13
18011,-0.28
18013,-0.05
18015,-0.25
18017,-0.12
18019,-0.05
18021,-0.13
18023,-0.25
18025,-0.02
18027,-0.22
18029,-0.17
18031,-0.24
18033,-0.28
18035,0.01
18037,-0.07
18039,-0.26
18041,-0.03
18043,-0.07
18045,-0.21
18047,-0.2
18049,-0.19
18051,-0.12
18053,-0.24
18055,-0.09
18057,-0.24
18059,-0.24
18061,-0.12
18063,-0.23
18065,-0.12
18067,-0.14
18069,-0.29
18071,-0.16
18073,-0.15
18075,-0.2
18077,-0.06
18079,-0.11
18081,-0.21
18083,-0.05
18085,-0.32
18087,-0.34
18089,0.15
18091,0.07
18093,-0.16
18095,-0.06
18097,0.04
18099,-0.21
18101,-0.11
18103,-0.23
18105,0.21
18107,-0.27
18109,-0.22
18111,-0.11
18113,-0.27
18115,-0.13
18117,-0.15
18119,-0.06
18121,-0.13
18123,0.07
18125,-0.08
18127,0.08
18129,-0.08
18131,-0.2
18133,-0.2
18135,-0.19
18137,-0.2
18139,-0.23
18141,-0.01
18143,0.06
18145,-0.19
18147,-0.1
18149,0.01
18151,-0.22
18153,0.07
18155,0
18157,-0.07
18159,-0.25
18161,-0.2
18163,-0.05
18165,0.13
18167,0.11
18169,-0.25
18171,-0.17
18173,-0.13
18175,-0.12
18177,-0.11
18179,-0.4
18181,-0.18
18183,-0.33
19001,-0.24
19003,-0.25
19005,-0.15
19007,-0.24
19009,-0.24
19011,-0.25
19013,-0.07
19015,-0.21
19017,-0.22
19019,-0.08
19021,-0.28
19023,-0.23
19025,-0.23
19027,-0.24
19029,-0.32
19031,-0.18
19033,-0.14
19035,-0.3
19037,-0.16
19039,-0.2
19041,-0.26
19043,-0.11
19045,-0.08
19047,-0.18
19049,-0.45
19051,-0.24
19053,-0.28
19055,-0.2
19057,-0.11
19059,-0.26
19061,-0.07
19063,-0.21
19065,-0.15
19067,-0.14
19069,-0.29
19071,-0.13
19073,-0.21
19075,-0.4
19077,-0.32
19079,-0.28
19081,-0.43
19083,-0.34
19085,-0.28
19087,-0.31
19089,-0.05
19091,-0.3
19093,-0.41
19095,-0.25
19097,-0.09
19099,-0.21
19101,0.02
19103,-0.02
19105,-0.15
19107,-0.3
19109,-0.32
19111,-0.05
19113,-0.12
19115,-0.26
19117,-0.35
19119,-0.62
19121,-0.36
19123,-0.46
19125,-0.4
19127,-0.18
19129,-0.36
19131,-0.24
19133,-0.29
19135,-0.24
19137,-0.3
19139,-0.17
19141,-0.54
19143,-0.48
19145,-0.34
