fips,WinMargin
29071,40.23%
28037,30.63%
37069,-4.02%
31061,91.05%
36033,-14.49%
39049,1.64%
42055,49.02%
47051,44.75%
48159,82.18%
51067,50.74%
50011,-15.24%
53021,94.91%
24021,6.61%
51069,50.42%
48161,80.88%
08043,-100.00%
19071,22.30%
16043,97.86%
56013,-100.00%
06019,-7.75%
48163,-74.53%
31063,93.41%
05049,7.34%
13121,-16.54%
17057,-2.62%
18049,53.95%
21075,-56.42%
36035,42.50%
39051,51.54%
42057,57.17%
31065,93.28%
12039,-60.53%
31067,76.60%
48165,88.05%
17059,-36.69%
21077,-35.14%
30031,-12.92%
39053,52.04%
48167,47.24%
31069,91.18%
08045,-100.00%
30033,88.07%
31071,100.00%
40047,47.58%
49017,59.32%
53023,97.60%
05051,44.80%
21079,24.16%
24023,56.66%
40049,3.17%
48169,88.93%
29073,54.11%
37071,29.68%
37073,-21.03%
39055,50.61%
16045,89.08%
26049,-22.05%
36037,35.48%
01061,79.65%
29075,49.42%
28039,81.23%
45043,29.36%
18051,40.10%
47053,54.88%
04007,15.16%
12041,51.00%
47055,50.14%
51071,50.53%
48171,74.82%
41021,22.24%
13123,74.90%
54021,-32.26%
08047,-100.00%
30035,-60.80%
12043,20.36%
26051,27.92%
13125,84.40%
48173,96.00%
06021,21.73%
34015,-36.69%
51073,45.51%
13127,49.87%
26053,5.84%
30037,62.29%
48175,47.19%
48177,73.18%
51075,42.09%
16047,92.15%
13129,72.83%
56015,-100.00%
31073,84.37%
13131,46.55%
40051,27.40%
33009,-13.63%
04009,29.84%
37075,43.97%
47057,76.76%
50013,-26.99%
26055,14.15%
08049,-100.00%
49019,-40.56%
30039,25.42%
05053,52.46%
18053,45.29%
21081,-1.83%
31075,100.00%
35017,-49.24%
40053,47.40%
41023,51.57%
46051,13.75%
53025,96.97%
55043,4.70%
54023,77.77%
37077,-19.70%
26057,21.31%
21083,-52.30%
48179,91.25%
53027,91.18%
21085,16.06%
48181,68.52%
51077,54.92%
31077,82.76%
55047,38.70%
21087,34.29%
55045,-2.78%
54025,-13.87%
01063,-83.22%
05055,51.65%
13133,49.84%
19073,15.56%
17061,34.01%
18055,45.24%
29077,28.37%
28041,65.73%
