fips,3rd Party Effect
19049,0.1989
19051,0.0579
19053,0.0807
19055,0.0393
19057,0.011
19059,0.0695
19061,0.0046
19063,0.0449
19065,0.0215
19067,0.0189
19069,0.0838
19071,0.0179
19073,0.0439
19075,0.159
19077,0.1006
19079,0.0802
19081,0.1873
19083,0.1187
19085,0.0807
19087,0.0949
19089,0.0027
19091,0.0879
19093,0.1672
19095,0.0648
19097,0.0089
19099,0.0442
19101,0.0003
19103,0.0004
19105,0.0234
19107,0.09
19109,0.1051
19111,0.002
19113,0.0151
19115,0.0652
19117,0.121
19119,0.3895
19121,0.1268
19123,0.2148
19125,0.1627
19127,0.0336
19129,0.1269
19131,0.0587
19133,0.0853
19135,0.058
19137,0.0898
19139,0.0293
19141,0.289
19143,0.2339
19145,0.1187
19147,0.0241
19149,0.1368
19151,0.1198
19153,0.0639
19155,0.0298
19157,0.0176
19159,0.0889
19161,0.1104
19163,0.03
19165,0.0733
19167,0.6082
19169,0.0899
19171,0.0124
19173,0.0949
19175,0.0399
19177,0.1409
19179,0.0163
19181,0.0941
19183,0.1072
19185,0.1441
19187,0.0176
19189,0.0716
19191,0.005
19193,0.0308
19195,0.0032
19197,0.0381
21001,0.0362
21003,0.027
21005,0.0184
21007,0.1027
21009,0.0323
21011,0.0899
21013,0
21015,0.0329
21017,0.0345
21019,0.0254
21021,0.0038
21023,0.0629
21025,0.2903
21027,0.0019
21029,0.0036
21031,0.0878
21033,0.0738
21035,0.042
21037,0.0025
21039,0.1231
21041,0.1078
21043,0.0091
21045,0.0907
21047,0.013
21049,0.0087
21051,0.0598
21053,0.1112
21055,0.0067
21057,0.1373
21059,0.0134
21061,0.0155
21063,0.2891
21065,0.0106
21067,0.0141
21069,0.0296
21071,0.2917
21073,0.0973
21075,0.0469
21077,0.038
21079,0.0302
21081,0.0005
21083,0.0926
21085,0.0215
21087,0.0236
21089,0.0246
21091,0.0198
21093,0.0066
21095,0.1811
21097,0.0565
21099,0.062
21101,0.0747
21103,0.0401
21105,0.0041
21107,0.0761
21109,0.0937
21111,0.0235
21113,0.0095
21115,0.0019
21117,0.0006
21119,0.3535
21121,0.0243
21123,0.0399
21125,0.0727
21127,0.0092
21129,0
21131,0.1436
21133,0.2024
21135,0.103
21137,0
21139,0.1003
21141,0.0355
21143,0.0359
21145,0.0107
21147,0.0522
21149,0.0424
21151,0.0105
21153,0.0616
21155,0.0845
21157,0.0496
21159,0.0225
21161,0.0246
21163,0.0375
21165,0.0643
21167,0.0156
21169,0.0109
21171,0.0737
21173,0.0292
21175,0.2778
21177,0.0704
21179,0.0318
21181,0.1345
21183,0
21185,0.0363
21187,0.0587
21189,0
21191,0.0041
21193,0.1384
21195,0.2235
21197,0.0771
21199,0.0881
21201,0.2349
21203,0.0876
21205,0.0541
21207,0.0764
21209,0.0021
21211,0.0006
21213,0.0225
21215,0.0068
21217,0.0139
21219,0.1016
21221,0.0058
21223,0.1245
21225,0.2275
21227,0.0088
21229,0.0131
21231,0.037
21233,0.2309
21235,0.0893
21237,0.1957
21239,0.013
23005,0.3087
23007,0.4445
23009,0.36
23013,1
23015,0.3087
23017,0.4445
23019,0.64
23027,#DIV/0!
23029,0.4445
23031,0.3543
24001,0.0011
24003,0
24005,0.0156
24009,0.0022
24011,0.0017
24013,0.0172
24015,0.0021
24017,0.0063
24019,0
24021,0.0013
24023,0.0384
24025,0.001
24027,0.0022
24029,0.0014
24031,0.015
24033,0.035
24035,0.0057
24037,0.0051
24039,0.0019
24041,0.0088
24043,0.005
24045,0.0003
24047,0
24510,0.0714
25001,0.0052
25009,0.0033
25011,0.0008
25013,0.0012
25019,0.0408
25021,0
25023,0.0058
25027,0.0535
26001,0.0265
26003,0.0012
26005,0.091
26007,0.018
26009,0.0276
26011,0.0087
26013,0.0096
26015,0.0539
26017,0.0011
26019,0.0002
26021,0.0463
26023,0.0639
26025,0.0169
26027,0.0545
26029,0.0221
26031,0.0196
26033,0.0127
26035,0.0155
26037,0.0351
26039,0.0149
26041,0.0167
26043,0.0504
26045,0.0085
26047,0.0146
26049,0.0051
26051,0.0201
26053,0.0012
26055,0.0064
26057,0.0176
26059,0.0758
26061,0.0124
26063,0.0489
26065,0.0057
26067,0.0358
26069,0.0048
26071,0.0154
26073,0.0007
26075,0.022
26077,0.0007
26079,0.0147
26081,0.031
26083,0.0035
26085,0.0062
26087,0.0204
26089,0.005
26091,0.0416
26093,0.0453
26095,0.0166
26097,0.0171
26099,0.0029
26101,0.0034
26103,0.0023
26105,0.0263
26107,0.0317
26109,0.0184
26111,0.0563
26113,0.0781
26115,0.0221
26117,0.0347
26119,0.0342
26121,0.0031
26123,0.0874
26125,0.0065
26127,0.0737
26129,0.0102
26131,0.0072
26133,0.0499
26135,0.0383
26137,0.0242
26139,0.1544
26141,0.0289
26143,0.0115
26145,0.0059
26147,0.0405
26149,0.0606
26151,0.048
26153,0.0124
26155,0.0037
26157,0.0257
26159,0.0168
26161,0.0151
26163,0.0057
26165,0.0205
28001,0.028
28003,0.1302
28005,0.0667
28007,0.0582
28009,0.0471
28011,0.0114
28013,0.0778
28015,0.0751
28017,0.032
28019,0.1041
28021,0.001
28023,0.0925
28025,0.026
28027,0.0001
28029,0.0246
28031,0.0622
28033,0.1622
28035,0.0749
28037,0.079
28039,0.1887
28041,0.1415
28043,0.0465
28045,0.0809
28047,0.0786
28049,0.0069
28051,0.0002
28053,0.0008
28055,0.0061
28057,0.1935
28059,0.105
28061,0.0289
28063,0.0008
28067,0.1067
28069,0.0246
28071,0.076
28073,0.1681
28075,0.1149
28077,0.0458
28079,0.0483
28081,0.1666
28083,0.022
28085,0.1163
28087,0.0779
28089,0.1068
28091,0.094
28093,0.0455
28095,0.0848
28097,0.0546
28099,0.111
28101,0.13
28103,0.0111
28105,0.0984
28107,0.0303
28109,0.1502
28111,0.0954
28113,0.0473
28115,0.1882
28117,0.1199
28119,0.0006
28121,0.1532
28123,0.0489
28125,0.0105
28127,0.0722
28129,0.0926
28131,0.1697
28133,0.0035
28135,0.0088
28137,0.1347
28139,0.1461
28141,0.1226
28143,0.0059
28145,0.1875
28147,0.0445
28149,0.0508
28151,0.0122
28153,0.0663
28155,0.138
28157,0.011
28159,0.0711
28161,0.0321
28163,0.0379
29001,0.0238
29003,0.0666
29005,0.0877
29007,0.0847
29009,0.1273
29011,0.25
29013,0.0415
29015,0.0498
29017,0.1399
29019,0.0016
29021,0.0124
29023,0.0928
29025,0.0766
29027,0.0592
29029,0.0527
29031,0.1224
29033,0.0721
29035,0.0686
29037,0.0604
29039,0.1262
29041,0.0649
29043,0.1485
29045,0.0724
29047,0.0173
29049,0.0402
29051,0.0725
29053,0.098
29055,0.0452
